Name,Age,Gender,City,Food_Preference,Sleep_Schedule,Cleanliness_Level,Smoking_Drinking,Personality_Description,Ideal_Roommate
User2337,23,Male,Delhi,Non-Vegetarian,Early riser,Messy,Occasionally,"Late night gamer, loves anime and group activities","Clean and organized, no frequent guests"
User3254,18,Female,Kolkata,Eggetarian,Early riser,Messy,No,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User1086,19,Male,Chennai,Vegetarian,Early riser,Messy,Occasionally,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User7934,19,Female,Hyderabad,Non-Vegetarian,Early riser,Very Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User8489,19,Male,Kolkata,Eggetarian,Flexible,Very Clean,Occasionally,"Studies long hours, needs cooperative environment","Studious, respects space, loves cricket"
User4963,20,Female,Lucknow,Vegetarian,Flexible,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Open-minded, talkative, doesn't mind visitors"
User4068,28,Other,Mumbai,Eggetarian,Night owl,Very Clean,Occasionally,"Studies long hours, needs cooperative environment","Night owl, enjoys late-night discussions"
User9316,26,Male,Lucknow,Non-Vegetarian,Early riser,Messy,No,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User1266,23,Male,Pune,Vegetarian,Flexible,Messy,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Studious, respects space, loves cricket"
User6447,20,Male,Pune,Eggetarian,Night owl,Messy,Yes,"Chatty and helpful, often invites friends over","Minimalist, prefers clean and peaceful room"
User3986,20,Male,Kolkata,Vegetarian,Night owl,Very Clean,Yes,"Loves cooking, listens to music while studying","Quiet, non-smoker, prefers early mornings"
User6170,22,Other,Lucknow,Eggetarian,Night owl,Moderately Clean,Yes,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User6848,18,Other,Pune,Non-Vegetarian,Early riser,Moderately Clean,No,"Spiritual, practices yoga, needs silence in mornings","Minimalist, prefers clean and peaceful room"
User7334,23,Male,Kolkata,Eggetarian,Night owl,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Friendly, okay with music, respects privacy"
User7955,19,Female,Jaipur,Vegetarian,Flexible,Moderately Clean,No,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User6372,28,Female,Chennai,Non-Vegetarian,Flexible,Messy,No,"Focused student, prefers early mornings and chai","Minimalist, prefers clean and peaceful room"
User6759,25,Male,Pune,Eggetarian,Night owl,Moderately Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User7655,23,Other,Bangalore,Vegetarian,Early riser,Messy,Occasionally,"Chatty and helpful, often invites friends over","Quiet, non-smoker, prefers early mornings"
User3068,19,Male,Pune,Non-Vegetarian,Night owl,Messy,Yes,"Enjoys movies, keeps shared areas clean","Clean and organized, no frequent guests"
User8371,23,Female,Kolkata,Vegetarian,Flexible,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User6150,28,Female,Hyderabad,Vegetarian,Early riser,Messy,Yes,"Chatty and helpful, often invites friends over","Night owl, enjoys late-night discussions"
User7340,26,Male,Chennai,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean",Enjoys shared meals and group chats
User9047,21,Male,Bangalore,Vegetarian,Night owl,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Friendly, okay with music, respects privacy"
User6236,28,Female,Mumbai,Eggetarian,Flexible,Moderately Clean,No,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User6922,26,Male,Mumbai,Vegetarian,Early riser,Very Clean,No,"Introverted, enjoys quiet time, loves reading novels","Non-smoker, introverted and cooperative"
User7044,25,Other,Bangalore,Eggetarian,Early riser,Very Clean,No,"Spiritual, practices yoga, needs silence in mornings","Minimalist, prefers clean and peaceful room"
User9612,24,Female,Jaipur,Vegetarian,Early riser,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Minimalist, prefers clean and peaceful room"
User8632,28,Other,Pune,Vegetarian,Flexible,Messy,Occasionally,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User8088,26,Male,Mumbai,Eggetarian,Early riser,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Non-smoker, introverted and cooperative"
User4694,23,Other,Chennai,Vegetarian,Night owl,Very Clean,Occasionally,"Studies long hours, needs cooperative environment",Enjoys shared meals and group chats
User3050,28,Female,Jaipur,Eggetarian,Early riser,Messy,Occasionally,"Focused student, prefers early mornings and chai","Studious, respects space, loves cricket"
User3526,20,Other,Jaipur,Eggetarian,Flexible,Moderately Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Quiet, non-smoker, prefers early mornings"
User2330,18,Other,Jaipur,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User1496,25,Other,Ahmedabad,Non-Vegetarian,Flexible,Moderately Clean,No,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User5873,25,Male,Delhi,Vegetarian,Night owl,Moderately Clean,No,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User6573,27,Male,Pune,Eggetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Clean and organized, no frequent guests"
User7070,26,Other,Mumbai,Non-Vegetarian,Early riser,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Minimalist, prefers clean and peaceful room"
User5061,20,Male,Delhi,Non-Vegetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying","Clean and organized, no frequent guests"
User6364,27,Other,Pune,Vegetarian,Early riser,Moderately Clean,Occasionally,"Chatty and helpful, often invites friends over","Minimalist, prefers clean and peaceful room"
User6055,25,Male,Mumbai,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User6781,18,Male,Chennai,Non-Vegetarian,Flexible,Messy,Occasionally,"Chatty and helpful, often invites friends over",Enjoys shared meals and group chats
User9793,18,Male,Lucknow,Vegetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative"
User1741,24,Male,Jaipur,Eggetarian,Early riser,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Friendly, okay with music, respects privacy"
User7329,26,Female,Ahmedabad,Non-Vegetarian,Flexible,Messy,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests"
User2584,24,Female,Pune,Eggetarian,Night owl,Very Clean,Yes,"Enjoys movies, keeps shared areas clean","Night owl, enjoys late-night discussions"
User7576,26,Male,Delhi,Vegetarian,Early riser,Messy,No,"Chatty and helpful, often invites friends over","Night owl, enjoys late-night discussions"
User8487,20,Other,Ahmedabad,Vegetarian,Night owl,Messy,No,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors"
User5902,27,Female,Ahmedabad,Eggetarian,Flexible,Moderately Clean,Occasionally,"Enjoys movies, keeps shared areas clean",Enjoys shared meals and group chats
User8780,18,Female,Pune,Eggetarian,Early riser,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings"
User8775,22,Other,Jaipur,Eggetarian,Early riser,Messy,Yes,"Enjoys movies, keeps shared areas clean","Minimalist, prefers clean and peaceful room"
User3793,26,Other,Jaipur,Non-Vegetarian,Early riser,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Studious, respects space, loves cricket"
User2800,21,Male,Kolkata,Non-Vegetarian,Night owl,Very Clean,No,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User9221,27,Female,Delhi,Eggetarian,Early riser,Messy,Yes,"Studies long hours, needs cooperative environment","Non-smoker, introverted and cooperative"
User8837,26,Female,Pune,Vegetarian,Night owl,Messy,No,"Studies long hours, needs cooperative environment","Non-smoker, introverted and cooperative"
User5331,27,Female,Hyderabad,Vegetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User5735,21,Other,Kolkata,Non-Vegetarian,Night owl,Moderately Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment",Enjoys shared meals and group chats
User2996,27,Other,Ahmedabad,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings"
User5712,19,Female,Kolkata,Eggetarian,Night owl,Messy,No,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries"
User9824,22,Other,Chennai,Vegetarian,Early riser,Messy,Occasionally,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User4972,18,Other,Ahmedabad,Vegetarian,Flexible,Very Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Open-minded, talkative, doesn't mind visitors"
User6411,25,Male,Bangalore,Vegetarian,Flexible,Very Clean,No,"Chatty and helpful, often invites friends over","Minimalist, prefers clean and peaceful room"
User4267,22,Female,Chennai,Eggetarian,Early riser,Very Clean,Occasionally,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User9767,18,Male,Lucknow,Vegetarian,Early riser,Moderately Clean,No,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User1613,18,Female,Jaipur,Eggetarian,Early riser,Moderately Clean,No,"Chatty and helpful, often invites friends over","Night owl, enjoys late-night discussions"
User9590,25,Male,Ahmedabad,Non-Vegetarian,Night owl,Very Clean,Yes,"Late night gamer, loves anime and group activities","Clean and organized, no frequent guests"
User8518,28,Female,Bangalore,Vegetarian,Flexible,Moderately Clean,No,"Enjoys movies, keeps shared areas clean","Similar sleep schedule, respectful of boundaries"
User3875,27,Other,Lucknow,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Spiritual, practices yoga, needs silence in mornings","Friendly, okay with music, respects privacy"
User4027,20,Female,Pune,Vegetarian,Early riser,Moderately Clean,No,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User5374,23,Female,Jaipur,Eggetarian,Flexible,Very Clean,No,"Late night gamer, loves anime and group activities","Similar sleep schedule, respectful of boundaries"
User2017,28,Male,Kolkata,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Studies long hours, needs cooperative environment",Enjoys shared meals and group chats
User2923,28,Female,Pune,Eggetarian,Early riser,Very Clean,Yes,"Chatty and helpful, often invites friends over","Clean and organized, no frequent guests"
User8454,27,Female,Lucknow,Eggetarian,Flexible,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries"
User2341,26,Female,Ahmedabad,Eggetarian,Night owl,Very Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Quiet, non-smoker, prefers early mornings"
User9972,26,Male,Jaipur,Eggetarian,Early riser,Very Clean,No,"Studies long hours, needs cooperative environment","Minimalist, prefers clean and peaceful room"
User2904,28,Male,Jaipur,Non-Vegetarian,Early riser,Messy,No,"Introverted, enjoys quiet time, loves reading novels","Minimalist, prefers clean and peaceful room"
User3161,26,Female,Kolkata,Eggetarian,Early riser,Messy,No,"Minimalist, avoids clutter, prefers peaceful environment","Quiet, non-smoker, prefers early mornings"
User7487,22,Male,Hyderabad,Eggetarian,Early riser,Very Clean,No,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User9866,18,Male,Kolkata,Vegetarian,Night owl,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Open-minded, talkative, doesn't mind visitors"
User7135,24,Female,Lucknow,Non-Vegetarian,Early riser,Messy,Occasionally,"Studies long hours, needs cooperative environment","Clean and organized, no frequent guests"
User6697,19,Male,Ahmedabad,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Loves cooking, listens to music while studying","Quiet, non-smoker, prefers early mornings"
User1372,22,Female,Ahmedabad,Non-Vegetarian,Flexible,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User6671,20,Female,Hyderabad,Eggetarian,Early riser,Very Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Studious, respects space, loves cricket"
User1256,21,Male,Mumbai,Vegetarian,Flexible,Very Clean,No,"Enjoys movies, keeps shared areas clean","Quiet, non-smoker, prefers early mornings"
User5009,18,Female,Kolkata,Vegetarian,Flexible,Very Clean,Yes,"Focused student, prefers early mornings and chai","Night owl, enjoys late-night discussions"
User5739,21,Other,Jaipur,Non-Vegetarian,Flexible,Messy,Occasionally,"Late night gamer, loves anime and group activities","Similar sleep schedule, respectful of boundaries"
User5944,20,Other,Ahmedabad,Vegetarian,Night owl,Moderately Clean,No,"Introverted, enjoys quiet time, loves reading novels","Night owl, enjoys late-night discussions"
User3869,28,Other,Lucknow,Eggetarian,Night owl,Very Clean,No,"Spiritual, practices yoga, needs silence in mornings","Night owl, enjoys late-night discussions"
User6222,24,Female,Bangalore,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User4692,22,Other,Bangalore,Non-Vegetarian,Early riser,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Night owl, enjoys late-night discussions"
User9683,20,Female,Hyderabad,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Minimalist, prefers clean and peaceful room"
User7079,19,Other,Hyderabad,Vegetarian,Night owl,Moderately Clean,Occasionally,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket"
User1647,19,Male,Jaipur,Eggetarian,Flexible,Messy,Yes,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User6455,22,Male,Hyderabad,Vegetarian,Flexible,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User4350,24,Male,Ahmedabad,Non-Vegetarian,Night owl,Moderately Clean,No,"Studies long hours, needs cooperative environment","Non-smoker, introverted and cooperative"
User6053,22,Female,Ahmedabad,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Non-smoker, introverted and cooperative"
User4328,23,Female,Lucknow,Vegetarian,Flexible,Very Clean,Occasionally,"Focused student, prefers early mornings and chai","Quiet, non-smoker, prefers early mornings"
User5272,26,Other,Jaipur,Eggetarian,Night owl,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Non-smoker, introverted and cooperative"
User4768,24,Other,Hyderabad,Non-Vegetarian,Flexible,Messy,Occasionally,"Late night gamer, loves anime and group activities",Enjoys shared meals and group chats
User9005,28,Other,Kolkata,Non-Vegetarian,Early riser,Messy,No,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User9954,25,Male,Ahmedabad,Eggetarian,Early riser,Messy,Yes,"Extroverted, loves socializing, watches late-night IPL","Quiet, non-smoker, prefers early mornings"
User1104,24,Male,Hyderabad,Vegetarian,Flexible,Very Clean,Yes,"Loves cooking, listens to music while studying","Night owl, enjoys late-night discussions"
User8471,23,Male,Jaipur,Eggetarian,Flexible,Messy,No,"Chatty and helpful, often invites friends over","Quiet, non-smoker, prefers early mornings"
User1108,26,Other,Lucknow,Vegetarian,Early riser,Messy,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Night owl, enjoys late-night discussions"
User5697,18,Other,Lucknow,Vegetarian,Early riser,Very Clean,Occasionally,"Focused student, prefers early mornings and chai","Similar sleep schedule, respectful of boundaries"
User4144,27,Other,Chennai,Non-Vegetarian,Night owl,Moderately Clean,Yes,"Late night gamer, loves anime and group activities","Open-minded, talkative, doesn't mind visitors"
User8520,27,Male,Hyderabad,Non-Vegetarian,Flexible,Very Clean,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User7640,24,Female,Ahmedabad,Non-Vegetarian,Early riser,Messy,Yes,"Focused student, prefers early mornings and chai","Friendly, okay with music, respects privacy"
User9189,24,Other,Pune,Eggetarian,Early riser,Messy,Yes,"Loves cooking, listens to music while studying","Similar sleep schedule, respectful of boundaries"
User8790,22,Male,Mumbai,Eggetarian,Night owl,Messy,Occasionally,"Introverted, enjoys quiet time, loves reading novels","Clean and organized, no frequent guests"
User6152,18,Male,Jaipur,Vegetarian,Flexible,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests"
User4939,27,Female,Ahmedabad,Non-Vegetarian,Night owl,Messy,Yes,"Extroverted, loves socializing, watches late-night IPL","Night owl, enjoys late-night discussions"
User6666,18,Male,Lucknow,Vegetarian,Early riser,Moderately Clean,Occasionally,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket"
User7499,23,Male,Chennai,Non-Vegetarian,Night owl,Very Clean,No,"Studies long hours, needs cooperative environment","Open-minded, talkative, doesn't mind visitors"
User8075,20,Other,Jaipur,Eggetarian,Night owl,Very Clean,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Similar sleep schedule, respectful of boundaries"
User2204,19,Female,Bangalore,Non-Vegetarian,Flexible,Messy,Yes,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative"
User6909,19,Male,Delhi,Non-Vegetarian,Night owl,Moderately Clean,No,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests"
User2430,20,Female,Kolkata,Eggetarian,Flexible,Messy,No,"Extroverted, loves socializing, watches late-night IPL","Quiet, non-smoker, prefers early mornings"
User2468,23,Other,Mumbai,Eggetarian,Flexible,Moderately Clean,No,"Introverted, enjoys quiet time, loves reading novels",Enjoys shared meals and group chats
User7779,24,Male,Ahmedabad,Vegetarian,Flexible,Messy,Yes,"Spiritual, practices yoga, needs silence in mornings","Clean and organized, no frequent guests"
User3274,22,Female,Chennai,Non-Vegetarian,Early riser,Very Clean,Yes,"Spiritual, practices yoga, needs silence in mornings",Enjoys shared meals and group chats
User7899,22,Female,Mumbai,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User4203,25,Male,Bangalore,Non-Vegetarian,Early riser,Moderately Clean,No,"Enjoys movies, keeps shared areas clean","Open-minded, talkative, doesn't mind visitors"
User6399,25,Female,Lucknow,Eggetarian,Flexible,Very Clean,No,"Late night gamer, loves anime and group activities","Studious, respects space, loves cricket"
User4290,25,Female,Bangalore,Non-Vegetarian,Night owl,Moderately Clean,Occasionally,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User4971,23,Female,Chennai,Non-Vegetarian,Night owl,Very Clean,Occasionally,"Loves cooking, listens to music while studying","Studious, respects space, loves cricket"
User9939,20,Other,Ahmedabad,Vegetarian,Flexible,Moderately Clean,Occasionally,"Loves cooking, listens to music while studying","Minimalist, prefers clean and peaceful room"
User5773,19,Female,Kolkata,Vegetarian,Flexible,Moderately Clean,Yes,"Minimalist, avoids clutter, prefers peaceful environment","Clean and organized, no frequent guests"
User7932,24,Male,Kolkata,Eggetarian,Night owl,Messy,No,"Studies long hours, needs cooperative environment","Night owl, enjoys late-night discussions"
User7853,26,Male,Pune,Eggetarian,Flexible,Messy,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User5067,28,Other,Pune,Vegetarian,Flexible,Messy,Yes,"Enjoys movies, keeps shared areas clean","Open-minded, talkative, doesn't mind visitors"
User6432,24,Male,Delhi,Vegetarian,Night owl,Very Clean,Occasionally,"Studies long hours, needs cooperative environment","Night owl, enjoys late-night discussions"
User4621,25,Female,Lucknow,Non-Vegetarian,Flexible,Messy,Occasionally,"Studies long hours, needs cooperative environment","Clean and organized, no frequent guests"
User6651,18,Female,Mumbai,Non-Vegetarian,Night owl,Very Clean,Yes,"Focused student, prefers early mornings and chai","Non-smoker, introverted and cooperative"
User6110,23,Female,Hyderabad,Eggetarian,Night owl,Moderately Clean,No,"Extroverted, loves socializing, watches late-night IPL","Minimalist, prefers clean and peaceful room"
User8412,23,Male,Chennai,Vegetarian,Flexible,Very Clean,Yes,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User3692,21,Other,Bangalore,Eggetarian,Early riser,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Minimalist, prefers clean and peaceful room"
User4798,24,Other,Bangalore,Vegetarian,Flexible,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Quiet, non-smoker, prefers early mornings"
User4232,25,Other,Lucknow,Non-Vegetarian,Early riser,Messy,Yes,"Loves cooking, listens to music while studying",Enjoys shared meals and group chats
User2025,27,Male,Ahmedabad,Vegetarian,Night owl,Moderately Clean,Yes,"Chatty and helpful, often invites friends over","Friendly, okay with music, respects privacy"
User5298,28,Female,Ahmedabad,Eggetarian,Night owl,Messy,No,"Enjoys movies, keeps shared areas clean","Open-minded, talkative, doesn't mind visitors"
User2871,23,Female,Kolkata,Eggetarian,Early riser,Messy,Occasionally,"Minimalist, avoids clutter, prefers peaceful environment","Studious, respects space, loves cricket"
User2388,28,Male,Pune,Vegetarian,Early riser,Moderately Clean,Yes,"Focused student, prefers early mornings and chai","Non-smoker, introverted and cooperative"
User3316,26,Female,Lucknow,Eggetarian,Early riser,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Clean and organized, no frequent guests"
User8973,28,Other,Bangalore,Eggetarian,Early riser,Moderately Clean,No,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User6154,25,Other,Delhi,Non-Vegetarian,Early riser,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User9281,28,Female,Lucknow,Eggetarian,Night owl,Moderately Clean,Occasionally,"Chatty and helpful, often invites friends over","Minimalist, prefers clean and peaceful room"
User3740,19,Other,Delhi,Vegetarian,Night owl,Very Clean,No,"Loves cooking, listens to music while studying","Night owl, enjoys late-night discussions"
User5729,20,Female,Jaipur,Eggetarian,Night owl,Messy,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Studious, respects space, loves cricket"
User2871,22,Other,Pune,Eggetarian,Early riser,Messy,No,"Studies long hours, needs cooperative environment","Similar sleep schedule, respectful of boundaries"
User7965,19,Other,Hyderabad,Non-Vegetarian,Early riser,Moderately Clean,No,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User8193,19,Male,Hyderabad,Eggetarian,Flexible,Messy,No,"Enjoys movies, keeps shared areas clean","Open-minded, talkative, doesn't mind visitors"
User3719,27,Male,Hyderabad,Vegetarian,Early riser,Messy,No,"Studies long hours, needs cooperative environment",Enjoys shared meals and group chats
User9827,20,Female,Chennai,Non-Vegetarian,Flexible,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Clean and organized, no frequent guests"
User7743,18,Female,Bangalore,Eggetarian,Early riser,Very Clean,Yes,"Late night gamer, loves anime and group activities","Similar sleep schedule, respectful of boundaries"
User7434,25,Male,Jaipur,Eggetarian,Night owl,Messy,No,"Spiritual, practices yoga, needs silence in mornings","Minimalist, prefers clean and peaceful room"
User2237,28,Male,Lucknow,Eggetarian,Flexible,Moderately Clean,Occasionally,"Late night gamer, loves anime and group activities","Minimalist, prefers clean and peaceful room"
User8996,23,Other,Delhi,Eggetarian,Early riser,Messy,No,"Late night gamer, loves anime and group activities","Friendly, okay with music, respects privacy"
User9756,24,Male,Lucknow,Vegetarian,Night owl,Moderately Clean,No,"Minimalist, avoids clutter, prefers peaceful environment","Non-smoker, introverted and cooperative"
User9967,27,Male,Jaipur,Non-Vegetarian,Night owl,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Friendly, okay with music, respects privacy"
User8529,18,Male,Bangalore,Non-Vegetarian,Night owl,Very Clean,No,"Loves cooking, listens to music while studying","Clean and organized, no frequent guests"
User5945,20,Female,Mumbai,Eggetarian,Night owl,Moderately Clean,Yes,"Late night gamer, loves anime and group activities","Clean and organized, no frequent guests"
User1848,24,Other,Chennai,Eggetarian,Flexible,Very Clean,No,"Extroverted, loves socializing, watches late-night IPL","Friendly, okay with music, respects privacy"
User1017,21,Female,Mumbai,Vegetarian,Flexible,Very Clean,Occasionally,"Chatty and helpful, often invites friends over","Quiet, non-smoker, prefers early mornings"
User1132,23,Male,Lucknow,Eggetarian,Early riser,Moderately Clean,Yes,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User2463,19,Male,Pune,Non-Vegetarian,Night owl,Very Clean,No,"Focused student, prefers early mornings and chai","Clean and organized, no frequent guests"
User2120,26,Other,Delhi,Eggetarian,Flexible,Very Clean,No,"Late night gamer, loves anime and group activities","Similar sleep schedule, respectful of boundaries"
User3480,24,Other,Kolkata,Vegetarian,Early riser,Very Clean,Yes,"Extroverted, loves socializing, watches late-night IPL","Studious, respects space, loves cricket"
User7291,23,Female,Pune,Vegetarian,Early riser,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL","Similar sleep schedule, respectful of boundaries"
User5668,18,Other,Chennai,Vegetarian,Flexible,Messy,Occasionally,"Loves cooking, listens to music while studying","Open-minded, talkative, doesn't mind visitors"
User5842,28,Male,Hyderabad,Non-Vegetarian,Night owl,Very Clean,Yes,"Chatty and helpful, often invites friends over","Studious, respects space, loves cricket"
User2163,26,Male,Pune,Non-Vegetarian,Early riser,Moderately Clean,Occasionally,"Spiritual, practices yoga, needs silence in mornings","Non-smoker, introverted and cooperative"
User9951,28,Male,Kolkata,Vegetarian,Early riser,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels",Enjoys shared meals and group chats
User4534,18,Male,Lucknow,Eggetarian,Night owl,Messy,Occasionally,"Studies long hours, needs cooperative environment","Open-minded, talkative, doesn't mind visitors"
User7939,24,Male,Ahmedabad,Eggetarian,Flexible,Very Clean,No,"Extroverted, loves socializing, watches late-night IPL",Enjoys shared meals and group chats
User2294,26,Male,Bangalore,Eggetarian,Night owl,Moderately Clean,Occasionally,"Extroverted, loves socializing, watches late-night IPL",Enjoys shared meals and group chats
User8167,21,Male,Hyderabad,Vegetarian,Night owl,Very Clean,No,"Enjoys movies, keeps shared areas clean","Studious, respects space, loves cricket"
User1901,22,Other,Bangalore,Vegetarian,Early riser,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Clean and organized, no frequent guests"
User9133,23,Other,Ahmedabad,Eggetarian,Night owl,Very Clean,No,"Focused student, prefers early mornings and chai",Enjoys shared meals and group chats
User2934,18,Female,Lucknow,Non-Vegetarian,Flexible,Very Clean,No,"Enjoys movies, keeps shared areas clean","Friendly, okay with music, respects privacy"
User9128,25,Other,Pune,Vegetarian,Night owl,Messy,Yes,"Late night gamer, loves anime and group activities","Clean and organized, no frequent guests"
User5179,19,Other,Mumbai,Vegetarian,Flexible,Messy,Yes,"Introverted, enjoys quiet time, loves reading novels","Quiet, non-smoker, prefers early mornings"
User5006,18,Female,Pune,Non-Vegetarian,Early riser,Very Clean,Yes,"Studies long hours, needs cooperative environment","Open-minded, talkative, doesn't mind visitors"
User4678,23,Male,Lucknow,Eggetarian,Night owl,Moderately Clean,Yes,"Enjoys movies, keeps shared areas clean","Non-smoker, introverted and cooperative"
User2956,26,Other,Delhi,Vegetarian,Early riser,Messy,Yes,"Spiritual, practices yoga, needs silence in mornings","Friendly, okay with music, respects privacy"
User8620,22,Female,Pune,Vegetarian,Flexible,Moderately Clean,Yes,"Late night gamer, loves anime and group activities","Similar sleep schedule, respectful of boundaries"
User5777,27,Female,Jaipur,Vegetarian,Night owl,Moderately Clean,Occasionally,"Chatty and helpful, often invites friends over","Similar sleep schedule, respectful of boundaries"
User9954,21,Male,Delhi,Non-Vegetarian,Early riser,Very Clean,Occasionally,"Late night gamer, loves anime and group activities","Quiet, non-smoker, prefers early mornings"
